label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
IDENTIF-Suspension Totale;crt_n2_opts_ISUSPT_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Service 4G;crt_n2_opts_LTE_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Option sans frontières;crt_n2_opts_MON_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Messagerie Vocale(Wolof);crt_n2_opts_MSGVW_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-PERSONALISATION MESSAGERIE VOCALE;true;true
Pay4Me;crt_n2_opts_Pay4Me_ajout;SONATEL;;;;true;true
Liste Rouge;crt_n2_opts_RED_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi si inaccessible;crt_n2_opts_RNVI_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Renvoi si non réponse;crt_n2_opts_RNVR_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Regional And YieldZone;crt_n2_opts_RYZ_ajout;SONATEL;;;;true;true
Regional Zone;crt_n2_opts_RZ_ajout;SONATEL;;;;true;true
Signal d'appel;crt_n2_opts_SIGN_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Suspension Partielle;crt_n2_opts_SUSPP_ajout;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Totale;crt_n2_opts_SUSPT_ajout;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Fraude;crt_n2_opts_SUSPB_ajout;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Arnaque;crt_n2_opts_SUSTA_ajout;SONATEL;;;;true;true
Suspension Routage Annonce;crt_n2_opts_SUSPRA_ajout;SONATEL;;;;true;true
VISIOPHONIE;crt_n2_opts_VISIO_ajout;SONATEL;;;;true;true
Wax ba tass;crt_n2_opts_WBT_ajout;SONATEL;;;;true;true
YieldZone;crt_n2_opts_YZ_ajout;SONATEL;;;;true;true
Service 3G;crt_n2_opts_3G_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Messagerie Vocale(Francais);crt_n2_opts_BAOC_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Ring Back Tone;crt_n2_opts_CRBT_suppression;SONATEL;;;;true;true
Mes Numéros Préférés Orange;crt_n2_opts_FnF_suppression;SONATEL;;;;true;true
Package GPRS/MMS/EDGE;crt_n2_opts_GPRS_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Presentation du Numero;crt_n2_opts_IDAP_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Appel International;crt_n2_opts_IDD_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
IDENTIF-Suspension partielle;crt_n2_opts_ISUSPP_suppression;SONATEL;;;;true;true
IDENTIF-Suspension Totale;crt_n2_opts_ISUSPT_suppression;SONATEL;;;;true;true
Service 4G;crt_n2_opts_LTE_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Option sans frontières;crt_n2_opts_MON_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Messagerie Vocale(Wolof);crt_n2_opts_MSGVW_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Mobile  Social Live;crt_n2_opts_MSL_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Pay4Me;crt_n2_opts_Pay4Me_suppression;SONATEL;;;;true;true
Liste Rouge;crt_n2_opts_RED_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi si inaccessible;crt_n2_opts_RNVI_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi si non réponse;crt_n2_opts_RNVR_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Regional And YieldZone;crt_n2_opts_RYZ_suppression;SONATEL;;;;true;true
Regional Zone;crt_n2_opts_RZ_suppression;SONATEL;;;;true;true
Signal d'appel;crt_n2_opts_SIGN_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Messagerie ecrite-Destination-mobile;crt_n2_opts_SMDM_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Messagerie ecrite-Origine mobile;crt_n2_opts_SMMO_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Suspension Buster;crt_n2_opts_SUSPB_suppression;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspension Partielle;crt_n2_opts_SUSPP_suppression;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
