"sujet";"categorie";"motif"
Achat;ACHAT-INF- SMS;ACH-INF-MON-ACH-D'I-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF- SMS;ACH-INF-MON-PAI-FAC-ASSISTANCE PAIEMENT FACTURE
Achat;ACHAT-INF- SMS;ACH-INF-MON-PAI-FAC-ASSISTANCE PAIEMENT FACTURE
Achat;ACHAT-INF- SMS;ACH-INF-MON-TRA-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF- SMS;ACH-INF-MON-TRA-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INFORMATION CAMPAGNE;ACH-INF-CAM-INFO SUITE APPEL RECU
Achat;ACHAT-INFORMATION SVA;ACH-INF-SVA-PRINCIPE,TARIFICATION , CONDITIONS SOUSCRIPTION
Achat;ACHAT-INFORMATIONS;ACH-DEM-D-ACH-INF-INFO SUR  SUSPENSION NUMERO NON IDENTIFIE
Achat;ACHAT-INFORMATIONS;ACH-DEM-D-ACH-INF-PROMO CIBLE
Achat;ACHAT-INFORMATIONS;ACH-INF- DEMANDE INFO PASS LAMBJI
Achat;ACHAT-INFORMATIONS;ACH-INF- DEMANDE INFO PASS LAMBJI
Achat;ACHAT-INFORMATIONS;ACH-INF- INFO SUR OFFRES EXISTANTES
Achat;ACHAT-INFORMATIONS;ACH-INF- RENSEIGNEMENT TELEPHONIQUE NUMERO COMMUNIQUE
Achat;ACHAT-INFORMATIONS;ACH-INF- RENSEIGNEMENT TELEPHONIQUE NUMERO COMMUNIQUE
Achat;ACHAT-INFORMATIONS;ACH-INF- RENSEIGNEMENT TELEPHONIQUE NUMERO INDISPONIBLE
Achat;ACHAT-INFORMATIONS;ACH-INF- RENSEIGNEMENT TELEPHONIQUE NUMERO INDISPONIBLE
Achat;ACHAT-INFORMATIONS;ACH-INF-APPLICATION
Achat;ACHAT-INFORMATIONS;ACH-INF-APPLICATION
Achat;ACHAT-INFORMATIONS;ACH-INF-ASS CONVERSION POINTS EN CADEAUX
Achat;ACHAT-INFORMATIONS;ACH-INF-CAM-INFO PUSH  RECU
Achat;ACHAT-INFORMATIONS;ACH-INF-CAM-PROMOTIONS EN COURS
Achat;ACHAT-INFORMATIONS;ACH-INF-CHANGEMENT DE CARTE
Achat;ACHAT-INFORMATIONS;ACH-INF-CHANGEMENT ND SUITE TRANSFERT
Achat;ACHAT-INFORMATIONS;ACH-INF-CHANGEMENT TARIFAIRE
Achat;ACHAT-INFORMATIONS;ACH-INF-DEMANDE D INFO APPLICATION
Achat;ACHAT-INFORMATIONS;ACH-INF-DEMANDE D'ELIGIBILITE
Achat;ACHAT-INFORMATIONS;ACH-INF-DEMANDE D'INFO SUR LA CESSION DE LIGNE
